StreetName,buldingNr,apartmentNr,postalCode,city,district
Siewna,28,,31-231,Kraków, 
Zakliki z Mydlnik,16,,30-198,Kraków, 
Leonida Teligi,24,,30-870,Kraków, 
Józefa Sarego,10,,31-047,Kraków, 
Krakowska,1,,31-062,Kraków, 
Stradomska,15,,31-058,Kraków, 
Świętej Gertrudy,24,,31-048,Kraków, 
Estery,3,,31-056,Kraków, 
Świętego Wawrzyńca,18,,31-060,, 
Plac Nowy,4b,,31-056,Kraków, 
Starowiślna,56,,31-037,Kraków, 
Karmelicka,23,,31-131,Kraków, 
Świętego Sebastiana,9,,31-049,Kraków, 
Aleksandra Lubomirskiego,5a,,31-501,Kraków, 
Szeroka,16,,31-053,Kraków, 
Powstańców Wielkopolskich,17,,30-553,Kraków, 
Dobrego Pasterza,100,,31-416,Kraków, 
Szpitalna,15,,31-024,Kraków, 
Mały Rynek,7,,31-041,Kraków, 
Mikołajska,5,,31-027,Kraków, 
Plac Świętego Ducha,3,,31-023,Kraków, 
Jagiellońska,8,,31-010,Kraków, 
Świętej Anny,7,,31-008,Kraków, 
Plac Szczepański,8,,31-011,Kraków, 
Plac Szczepański,7,,31-011,Kraków, 
Plac Szczepański,3a,,31-011,Kraków, 
Szczepańska,1,,31-011,Kraków, 
Rynek Główny,34,,31-010,Kraków, 
Rynek Główny,29,,33-332,, 
Rynek Główny,5,,31-042,Kraków, 
Sienna,4,,31-021,Kraków, 
Plac Juliusza Kossaka,1,,31-106,Kraków, 
Szewska,5,,31-009,Kraków, 
Szewska,5,,31-009,Kraków, 
Szewska,13,,31-009,Kraków, 
Świętej Anny,5,,31-008,, 
Świętej Anny,5,,31-008,Kraków, 
Obozowa,64,,30-383,Kraków, 
Skotnicka,86,,30-394,Kraków, 
Sławkowska,3,,31-014,Kraków, 
Świętego Tomasza,10,,31-014,Kraków, 
Świętego Tomasza,12,,31-014,Kraków, 
Świętego Tomasza,16,,31-014,Kraków, 
Sławkowska,11,,31-014,Kraków, 
Sławkowska,13-15,,31-016,Kraków, 
Floriańska,43,,31-019,Kraków, 
Floriańska,53,,31-019,Kraków, 
Floriańska,44,,31-021,Kraków, 
Floriańska,42,,31-021,Kraków, 
Floriańska,42,,31-021,Kraków, 
Floriańska,42,,31-021,Kraków, 
Floriańska,40,,31-021,Kraków, 
Floriańska,30,,31-021,Kraków, 
Floriańska,30,,31-021,Kraków, 
Floriańska,28,,31-021,Kraków, 
Floriańska,29,,31-019,Kraków, 
Floriańska,21,,31-019,Kraków, 
Floriańska,14,,31-021,Kraków, 
Floriańska,3,,31-019,Kraków, 
Tadeusza Kościuszki,18,,30-105,Kraków, 
Aleja Jana Pawła II,200,,31-982,Kraków, 
Piastowska,25a,,30-065,Kraków, 
,4,,31-945,Kraków, 
,38,,31-636,Kraków, 
Szpitalna,28,,31-024,Kraków, 
,3,,31-929,Kraków, 
Józefa Mackiewicza,17,,31-210,Kraków, 
Na Kozłówce,10,,30-664,Kraków, 
Okólna,4,,30-681,Kraków, 
Bulwar Czerwieński,81,,30-069,Kraków, 
Ciemna,3,,31-053,Kraków, 
Profesora Michała Bobrzyńskiego,37,,30-348,Kraków, 
Józefa Dietla,90,,31-073,Kraków, 
Józefa Dietla,86,,31-073,Kraków, 
Józefa Dietla,87,,31-050,Kraków, 
Józefa Dietla,77,,31-050,Kraków, 
Woźniców,17A,,31-982,Kraków, 
Śliwkowa,12,,31-982,Kraków, 
Woźniców,22A,,31-982,Kraków, 
Śliwkowa,20,,31-982,Kraków, 
Woźniców,17,,31-982,Kraków, 
Śliwkowa,18,,31-982,Kraków, 
Woźniców,22,,31-982,Kraków, 
Śliwkowa,16,,31-982,Kraków, 
Śliwkowa,14,,31-982,Kraków, 
Bratysławska,2,,31-201,Kraków, 
Aleja Kijowska,12,,30-079,Kraków, 
Norymberska,1,,30-376,Kraków, 
Kuźnicy Kołłątajowskiej,25I,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23M,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23S,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23I,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23Z,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,25F,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23N,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23T,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,25J,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23L,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,25G,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23R,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23W,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,25C,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23K,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,25H,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23P,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23U,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,25D,,31-234,Kraków, 
Kuźnicy Kołłątajowskiej,23J,,31-234,Kraków, 
Ignacego Grabczaka,18,,31-236,Kraków, 
Ignacego Grabczaka,20,,31-236,Kraków, 
Ignacego Grabczaka,14,,31-236,Kraków, 
Księdza Józefa Meiera,18D,,31-236,Kraków, 
Ignacego Grabczaka,10,,31-236,Kraków, 
Ignacego Grabczaka,16,,31-236,Kraków, 
Księdza Józefa Meiera,18F,,31-236,Kraków, 
Ignacego Grabczaka,12,,31-236,Kraków, 
Księdza Józefa Meiera,18,,31-236,Kraków, 
Arcybiskupa Zygmunta Szczęsnego Felińskiego,55,,31-236,Kraków, 
Arcybiskupa Zygmunta Szczęsnego Felińskiego,67,,31-236,Kraków, 
Arcybiskupa Zygmunta Szczęsnego Felińskiego,95,,31-236,Kraków, 
Arcybiskupa Zygmunta Szczęsnego Felińskiego,91,,31-236,Kraków, 
Arcybiskupa Zygmunta Szczęsnego Felińskiego,75,,31-236,Kraków, 
