StreetName,buldingNr,apartmentNr,postalCode,city,district
Romualda Traugutta,1/3,,61-514,Poznań, 
Bułgarska,119,,60-378,Poznań, 
Józefa Chociszewskiego,49,,60-259,Poznań, 
Prosta,162,,60-189,Poznań, 
Naramowicka,131,,61-619,Poznań, 
Święty Marcin,30,,61-805,Poznań, 
Zgoda,19,,60-122,Poznań, 
Tatrzańska,1/5,,60-413,Poznań, 
Junikowska,13,,60-163,Poznań, 
Samotna,6,,62-030,Luboń, 
Strzelecka,48b,,60-846,Poznań, 
Święty Marcin,26,,61-805,Poznań, 
Leszczyńska,170/c,,61-410,Poznań, 
Jesionowa,20,,61-432,Poznań, 
Jesionowa,14,,61-432,Poznań, 
Jesionowa,14,,61-432,Poznań, 
,15g,,60-687,Poznań, 
,15d,,60-687,Poznań, 
Wielka,9,,61-774,Poznań, 
Głogowska,232/234,,60-104,Poznań, 
Serbska,24,,61-696,Poznań, 
Topolowa,11,,61-584,Poznań, 
Macieja Palacza,141,,60-279,Poznań, 
Głogowska,132-140,,60-243,Poznań, 
Jana Pawła II,12,,61-139,Poznań, 
,15,,61-293,Poznań, 
,20,,61-293,Poznań, 
Święty Marcin,66-72,,61-807,Poznań, 
Franciszka Ratajczaka,44,,61-816,Poznań, 
Franciszka Ratajczaka,44,,61-816,Poznań, 
Franciszka Ratajczaka,44,,61-816,Poznań, 
Gwarna,10,,61-703,Poznań, 
Świętosławska,9,,61-840,Poznań, 
Świętosławska,10,,61-840,Poznań, 
Woźna,2/3,,61-776,Poznań, 
Stary Rynek,25/59,,60-101,Poznań, 
Stary Rynek,28,,61-772,Poznań, 
Stary Rynek,2,,61-772,Poznań, 
Stary Rynek,75,,61-772,Poznań, 
Stary Rynek,73-74,,61-772,Poznań, 
Stary Rynek,37,,61-772,Poznań, 
Wodna,23,,61-778,Poznań, 
Wodna,3-5,,61-781,Poznań, 
Woźna,1,,61-779,Poznań, 
Wielka,7,,61-774,Poznań, 
Kramarska,3/5,,61-765,Poznań, 
Kramarska,1/5,,61-765,Poznań, 
Kramarska,1,,61-765,Poznań, 
23 Lutego,29/33b,,61-743,Poznań, 
Plac Wielkopolski,5,,61-746,Poznań, 
Świętosławska,11,,61-840,Poznań, 
Wrocławska,20,,61-838,Poznań, 
Wrocławska,16,,61-838,Poznań, 
Wielka,9,,61-774,Poznań, 
Bukowa,2A,,61-445,Poznań, 
Świętego Wawrzyńca,96,,60-541,Poznań, 
Augustyna Szamarzewskiego,99,,60-568,Poznań, 
Święty Marcin,18,,61-805,Poznań, 
Plac Cyryla Ratajskiego,10,,61-726,Poznań, 
Aleksandra Fredry,7,,61-701,Poznań, 
,115,,61-245,Poznań, 
Lwa,6,,61-244,Poznań, 
