StreetName,buldingNr,apartmentNr,postalCode,city,district
Marii Kazimiery,1,,01-628,, 
Stefana Banacha,1b,,02-097,Warszawa, 
Barska,37,,02-315,Warszawa, 
Wolska,56,,01-134,Warszawa, 
Aleja Jerzego Waszyngtona,46,,03-910,Warszawa, 
Plac Piotra Szembeka,1,,04-327,Warszawa, 
Widok,26,,00-023,Warszawa, 
Aleje Jerozolimskie,11/19,,00-508,Warszawa, 
Świętokrzyska,31/33,,00-001,Warszawa, 
Szpitalna,6,,00-031,Warszawa, 
Chmielna,33,,00-021,Warszawa, 
Nowy Świat,39,,00-029,Warszawa, 
Generała Władysława Andersa,5,,00-147,Warszawa, 
Aleja Komisji Edukacji Narodowej,60,,02-777,Warszawa, 
Świętokrzyska,30,,00-116,Warszawa, 
Aleja Niepodległości,177,,02-555,Warszawa, 
Jubilerska,1/3,,04-190,Warszawa, 
Wiertnicza,35,,02-952,Warszawa, 
Giordana Bruna,34,,02-523,Warszawa, 
Juliana Kulskiego,5,,02-593,Warszawa, 
Grochowska,19,,04-186,, 
Ludwika Waryńskiego,12,,00-631,Warszawa, 
Rakowiecka,39A,,02-519,Warszawa, 
Wołoska,58/62,,02-507,Warszawa, 
Radzymińska,166,,03-576,Warszawa, 
Grochowska,324 pawilon 14,,03-838,Warszawa, 
Jana Ciszewskiego,15,,02-777,Warszawa, 
Dereniowa,6,,02-776,Warszawa, 
Puławska,427,,02-884,Warszawa, 
Stefana Jaracza,2,,00-378,Warszawa, 
Ludwika Narbutta,83,U5,02-524,Warszawa, 
Puławska,274,,02-819,Warszawa, 
Wałbrzyska,48A,,02-739,Warszawa, 
Dudziarska,1A,,04-317,Warszawa, 
Marszałka Józefa Piłsudskiego,176,,05-091,, 
Marszałka Józefa Piłsudskiego,20,,05-091,Ząbki, 
Stanisława Moniuszki,22b,,05-510,Konstancin-Jeziorna, 
Jana Pawła Woronicza,15,,02-625,Warszawa, 
Zygmunta Modzelewskiego,71,,02-679,Warszawa, 
Aleja Jana Pawła II,61,,01-031,Warszawa, 
Powstańców Śląskich,90,,01-381,Warszawa, 
"Aleja ""Solidarności""",117,,00-140,Warszawa, 
Okuniewska,2a,,05-070,Sulejówek, 
Aleksandra Świętochowskiego,15/17,,05-071,Sulejówek, 
Aleksandra Świętochowskiego,15/17,,05-071,Sulejówek, 
Nowoursynowska,143,,02-776,Warszawa, 
Szkoły Orląt,4,,03-996,Warszawa, 
Chłodna,3,,00-891,Warszawa, 
Augustyna Kordeckiego,56/58,,04-355,Warszawa, 
Kardynała Stefana Wyszyńskiego,52,,05-420,, 
Jana Zamoyskiego,51a,,03-801,Warszawa, 
Aleja Armii Ludowej,14,,00-638,Warszawa, 
Aleje Jerozolimskie,56C,,00-803,Warszawa, 
Aleje Jerozolimskie,111,,02-017,Warszawa, 
Rokitnicka,21,,02-131,Warszawa, 
Aleje Jerozolimskie,28,,00-024,Warszawa, 
Zamieniecka,88,,04-158,Warszawa, 
Krakowskie Przedmieście,87/89,,00-079,Warszawa, 
Grochowska,246,,04-358,Warszawa, 
Aleje Jerozolimskie,87,,02-001,Warszawa, 
Kobielska,6,,04-359,Warszawa, 
Zielna,45,,00-108,Warszawa, 
Tadeusza Kościuszki,43,,05-500,Piaseczno, 
Szpitalna,6,,00-031,Warszawa, 
Szpitalna,1,,00-020,Warszawa, 
Aleja Armii Ludowej,12,,00-638,Warszawa, 
Wojciecha Oczki,1A,,02-007,Warszawa, 
Chmielna,35,,00-021,Warszawa, 
Aleja Władysława Reymonta,12,,01-842,Warszawa, 
Włodzimierza Perzyńskiego,3,,01-864,Warszawa, 
Włodzimierza Perzyńskiego,3,,01-864,Warszawa, 
Włodzimierza Perzyńskiego,3,,01-864,Warszawa, 
Polna,5b,,05-420,Józefów, 
Bagatela,14,,00-585,Warszawa, 
Puławska,24B,,02-512,Warszawa, 
Marszałkowska,28,,00-639,Warszawa, 
Aleje Jerozolimskie,28,,00-024,Warszawa, 
Aleje Jerozolimskie,42,,00-022,Warszawa, 
Świętokrzyska,18,,00-052,Warszawa, 
Nowy Świat,34,,00-362,Warszawa, 
Nowy Świat,30,,00-373,Warszawa, 
Nowy Świat,22/28,,00-373,Warszawa, 
Nowy Świat,22/28,,00-373,Warszawa, 
Krucza,16/22,,00-526,Warszawa, 
Aleje Ujazdowskie,6A,,00-461,Warszawa, 
Puławska,34,,02-512,Warszawa, 
Marszałkowska,8,,00-590,Warszawa, 
Plac Konstytucji,6,,00-550,Warszawa, 
Piękna,28/34,,00-547,Warszawa, 
Żurawia,18,,00-515,Warszawa, 
Grójecka,5,,02-025,Warszawa, 
Łukowska,46,,04-133,Warszawa, 
Chmielna,34,,00-029,Warszawa, 
Konstantego Ildefonsa Gałczyńskiego,3,,00-362,Warszawa, 
Chmielna,9,,00-021,Warszawa, 
Zgoda,12,,00-012,Warszawa, 
Puławska,621B,,02-885,Warszawa, 
Puławska,378,,02-845,Warszawa, 
Jana Rosoła,48,,02-786,Warszawa, 
Filomatów,39B,,04-116,Warszawa, 
Marszałkowska,115,,00-102,Warszawa, 
Grójecka,60,,02-339,Warszawa, 
Chmielna,14,,00-020,Warszawa, 
Grójecka,35,,02-030,Warszawa, 
Chmielna,28,,00-020,Warszawa, 
Grójecka,60,,02-339,Warszawa, 
Nowowiejska,10,,00-653,Warszawa, 
Marszałkowska,21/25,,00-628,Warszawa, 
Plac Konstytucji,3,,00-647,Warszawa, 
Plac Konstytucji,1,,00-647,Warszawa, 
Bagatela,15,,00-585,Warszawa, 
Nowogrodzka,11,,00-513,Warszawa, 
Chmielna,11,,00-021,Warszawa, 
Krakowskie Przedmieście,7,,00-068,Warszawa, 
Senatorska,40,,00-096,Warszawa, 
Filtrowa,54/58,,02-057,Warszawa, 
Plac Trzech Krzyży,1a,,00-343,Warszawa, 
Foksal,16,,00-372,Warszawa, 
Mirkowska,56,,05-520,Konstancin-Jeziorna, 
Warszawska,4,,05-520,Konstancin-Jeziorna, 
Piaskowa,12A,,05-510,Chylice, 
Ireneusza Wierzejewskiego,12,,05-510,Konstancin-Jeziorna, 
Henryka Sienkiewicza,17,,05-500,Piaseczno, 
Jana Pawła II,24,,05-500,Piaseczno, 
Suchodolska,4,,04-011,Warszawa, 
Cmentarna,3,,05-804,Pruszków, 
Nowogrodzka,73,,02-006,Warszawa, 
Flory,9,,00-587,Warszawa, 
gen. Romana Abrahama,1D,,03-982,Warszawa, 
Aleja Tysiąclecia,2A,,05-820,Piastów, 
11 Listopada,2A,,05-820,Piastów, 
Dworcowa,1,,05-820,Piastów, 
Powsińska,31,,02-903,Warszawa, 
Plac Trzech Krzyży,18,,00-502,Warszawa, 
Świętokrzyska,32,,00-116,Warszawa, 
Świętokrzyska,32,,00-116,Warszawa, 
Świętokrzyska,32,,00-116,Warszawa, 
Świętokrzyska,34,,00-116,Warszawa, 
Głębocka,15,,03-287,Warszawa, 
Białostocka,11,,03-748,Warszawa, 
Ludwika Kondratowicza,1,,03-286,Warszawa, 
Ludwika Kondratowicza,45,,03-286,Warszawa, 
Ludwika Kondratowicza,45,,03-286,Warszawa, 
"Aleja Generała Antoniego Chruściela ""Montera""",28,,00-910,Warszawa, 
Świętego Wincentego,114,,03-291,Warszawa, 
Warszawska,372,,05-082,Zielonki-Parcela, 
Ostrobramska,75c,,04-175,Warszawa, 
Plac Trzech Krzyży,18,,00-499,Warszawa, 
Michała Kleofasa Ogińskiego,18,,05-819,Piastów, 
Świętokrzyska,34,,00-116,Warszawa, 
Wilhelma Konrada Roentgena,5,,02-781,Warszawa, 
Nugat,4,,02-777,Warszawa, 
Samolotowa,4,,03-984,Warszawa, 
Filtrowa,70,,02-032,Warszawa, 
Jana Zamoyskiego,47,,03-801,Warszawa, 
Solec,44A,,00-394,, 
Stawki,2,,00-964,Warszawa, 
Kozia,4,,00-070,Warszawa, 
Peronowa,2,,05-840,Brwinów, 
Powstańców Warszawy,8A,,05-840,Brwinów, 
Powstańców Warszawy,8,,05-840,Brwinów, 
Peronowa,4B,,05-840,Brwinów, 
Krakowskie Przedmieście,27,,00-071,Warszawa, 
Miodowa,1,,00-080,, 
Krakowskie Przedmieście,71,,00-071,Warszawa, 
Plac Zamkowy,1/13,,00-267,Warszawa, 
Krucza,16/22,,00-526,Warszawa, 
Krucza,16/22,,00-526,Warszawa, 
Wilcza,29,,00-544,Warszawa, 
Krucza,17,,00-525,Warszawa, 
Krucza,16/22,,00-526,Warszawa, 
Garbarska,7,,00-306,Warszawa, 
Koszykowa,78,,00-911,Warszawa, 
Fryderyka Chopina,64,,05-800,Pruszków, 
Tadeusza Kościuszki,52,,05-800,Pruszków, 
Fryderyka Chopina,12,,05-800,Pruszków, 
Fryderyka Chopina,16,,05-800,Pruszków, 
Fryderyka Chopina,26,,05-800,Pruszków, 
Fryderyka Chopina,28,,05-800,Pruszków, 
Fryderyka Chopina,30,,05-800,Pruszków, 
Fryderyka Chopina,40,,05-800,Pruszków, 
Fryderyka Chopina,46,,05-800,Pruszków, 
Fryderyka Chopina,56a,,05-800,Pruszków, 
Fryderyka Chopina,21,,05-800,Pruszków, 
Michała Drzymały,23,,05-800,Pruszków, 
Ołówkowa,1,,05-800,Pruszków, 
Józefa Ignacego Kraszewskiego,28,,05-800,Pruszków, 
Aleja Stanów Zjednoczonych,72,,04-036,Warszawa, 
Kijowska,11,,03-738,Warszawa, 
Nowy Świat,64,,00-357,Warszawa, 
Ordynacka,10/12,,00-358,Warszawa, 
Marszałkowska,68/70,,00-545,Warszawa, 
Aleja Stanów Zjednoczonych,72,,04-036,Warszawa, 
Józefa Piłsudskiego,26,,05-510,Konstancin-Jeziorna, 
Józefa Piłsudskiego,11,,05-520,Konstancin-Jeziorna, 
Józefa Piłsudskiego,15,,05-510,Konstancin-Jeziorna, 
Warszawska,3,,05-520,Konstancin-Jeziorna, 
Zwycięzców,46,,03-938,Warszawa, 
Chłodna,3,,00-891,Warszawa, 
Nowy Świat,61,,00-042,Warszawa, 
Nowy Świat,46,,00-363,Warszawa, 
Piasta,10,,05-510,Konstancin-Jeziorna, 
Powstańców Śląskich,17,,01-381,Warszawa, 
Józefa Ignacego Kraszewskiego,48,,05-803,Pruszków, 
Józefa Ignacego Kraszewskiego,43,,05-803,Pruszków, 
Bolesława Prusa,48,,05-803,Pruszków, 
Bolesława Prusa,23,,05-803,Pruszków, 
Kościelna,22,,05-800,Pruszków, 
Aleja Wojska Polskiego,23,,05-800,Pruszków, 
Egipska,7,,03-979,Warszawa, 
Egipska,7,,03-979,Warszawa, 
Zwycięzców,46,,03-938,Warszawa, 
Zwycięzców,46,,03-938,Warszawa, 
Wersalska,3,,03-955,Warszawa, 
Zwycięzców,32,,03-938,Warszawa, 
Aleja Krakowska,256,,02-219,Warszawa, 
Radarowa,4b,,02-137,Warszawa, 
Ludna,9,,00-413,Warszawa, 
Ludna,9,,00-413,Warszawa, 
Ludwika Michała Paca,46,,04-386,Warszawa, 
Wolska,195,,01-258,Warszawa, 
Aleje Jerozolimskie,236,,02-495,Warszawa, 
Rozłogi,10,,01-323,Warszawa, 
Rozłogi,10,,01-310,Warszawa, 
Plac marszałka Józefa Piłsudskiego,9,,00-073,Warszawa, 
Miodowa,1,,00-080,Warszawa, 
Matuszewska,14,,03-876,Warszawa, 
Ząbkowska,50,,03-725,Warszawa, 
Stanisława Noakowskiego,16,,00-666,Warszawa, 
Wiertnicza,30,,02-952,Warszawa, 
Ząbkowska,6,,03-735,Warszawa, 
Ząbkowska,11,,03-736,Warszawa, 
Kremowa,63,,02-969,Warszawa, 
Rynek Starego Miasta,14,,00-272,Warszawa, 
Rynek Starego Miasta,2,,00-272,Warszawa, 
Rynek Starego Miasta,1/3,,00-272,Warszawa, 
Świętojańska,5,,02-266,Warszawa, 
Nowomiejska,10,,00-271,Warszawa, 
Podwale,25,,00-261,, 
Wąski Dunaj,10,,00-256,Warszawa, 
Plac Piotra Szembeka,6/25,,04-142,Warszawa, 
Dobra,56/66,,00-312,Warszawa, 
Jezuicka,2,,00-281,Warszawa, 
Księdza Ignacego Kłopotowskiego,36,,03-717,Warszawa, 
Plac Zbawiciela,4,,00-570,, 
Rynek,21,,05-082,Stare Babice, 
Nowowiejska,12/18,,00-653,Warszawa, 
Podwale,23,,00-261,Warszawa, 
Zygmunta Słomińskiego,19,,00-195,Warszawa, 
Freta,7/9,,00-227,Warszawa, 
Freta,1,,00-400,, 
Freta,10,,00-278,Warszawa, 
Rynek Nowego Miasta,13/15,,00-229,Warszawa, 
Freta,38,,00-227,Warszawa, 
Freta,20/24,,00-227,Warszawa, 
Freta,33/35,,00-227,Warszawa, 
Freta,37,,00-227,Warszawa, 
Kozia,3/5,,00-070,Warszawa, 
Nowy Świat,59,,00-042,Warszawa, 
Królewska,1,,00-065,Warszawa, 
Freta,12,,00-227,Warszawa, 
Międzynarodowa,68,,03-922,Warszawa, 
Angorska,14,,03-913,Warszawa, 
Zwycięzców,40,,03-938,Warszawa, 
Angorska,14,,03-913,Warszawa, 
Francuska,1,,03-906,Warszawa, 
Aleja Jerzego Waszyngtona,2a,,03-910,Warszawa, 
Teodora Toeplitza,2,,01-560,Warszawa, 
Klaudyny,26,,01-684,Warszawa, 
Warszawska,4,,96-313,Jaktorów, 
Augusta Cieszkowskiego,1/3,,01-636,Warszawa, 
Poznańska,22,,00-685,Warszawa, 
Wiatraczna,15,,04-364,Warszawa, 
Żelazna,58,,00-866,Warszawa, 
Nowy Świat,21,,00-029,Warszawa, 
Klonowa,48,,05-830,Kajetany, 
Wojska Polskiego,92C,,05-506,Lesznowola, 
Józefa Piłsudskiego,34,,05-510,Konstancin-Jeziorna, 
Techniczna,7,,05-500,Piaseczno, 
Wiejska,4/6/8,,00-902,Warszawa, 
Warszawska,344,,05-082,Stare Babice, 
Nowy Świat,18/20,,00-373,Warszawa, 
