StreetName,buldingNr,apartmentNr,postalCode,city,district
Aleja Aleksandra Brücknera,53,,51-411,Wrocław, 
Stefana Czarnieckiego,15,,53-638,Wrocław, 
Odrzańska,7,,50-113,Wrocław, 
Igielna,16,,50-325,Wrocław, 
Więzienna,31a,,50-118,Wrocław, 
Więzienna,5b,,50-118,Wrocław, 
Świdnicka,5,,50-064,Wrocław, 
Wita Stwosza,40,,50-149,Wrocław, 
Kuźnicza,29a,,50-138,Wrocław, 
Kazimierza Wielkiego,39,,50-077,Wrocław, 
Stanisława Worcella,2,,50-450,Wrocław, 
Bardzka,26,,50-517,Wrocław, 
Fiołkowa,16/1D,,55-040,Bielany Wrocławskie, 
Agrestowa,20,,53-006,Wrocław, 
Rynek,14,,50-101,Wrocław, 
Szewska,78,,50-054,Wrocław, 
Świętego Mikołaja,8-11,,50-125,Wrocław, 
Ślężna,88A,,53-306,Wrocław, 
Opolska,93,,52-010,Wrocław, 
Przystankowa,2,,55-040,Ślęza, 
Tarnogajska,11-13,,50-580,Wrocław, 
Sztabowa,98,,53-310,Wrocław, 
Krynicka,68,,50-555,Wrocław, 
Jedności Narodowej,156,,50-302,Wrocław, 
Karola Olszewskiego,69,,51-642,Wrocław, 
Bolesława Krzywoustego,110-118,,51-421,Wrocław, 
Henryka Sienkiewicza,36,,50-388,Wrocław, 
Legnicka,58,,54-204,Wrocław, 
Legnicka,58,,54-204,Wrocław, 
Słubicka,18,,53-615,Wrocław, 
Słubicka,18,,53-615,Wrocław, 
Szwedzka,9a,,54-401,Wrocław, 
Bolesława Krzywoustego,325,,51-311,Wrocław, 
Bolesława Krzywoustego,323,,51-310,Wrocław, 
Marszałka Józefa Piłsudskiego,67,,50-019,Wrocław, 
Plac Solny,5,,50-060,Wrocław, 
Paryska,1a,,51-215,Wrocław, 
Bolesława Krzywoustego,326,,51-312,Wrocław, 
Miłostowska,1A,,51-315,Wrocław, 
Szyszkowa,6,,55-040,Ślęza, 
Szyszkowa,6,,55-040,Ślęza, 
Grabiszyńska,240,,53-245,Wrocław, 
Aleja Armii Krajowej,10a/1,,50-541,Wrocław, 
Aleja Armii Krajowej,4a/5,,50-541,Wrocław, 
Litewska,6b,,51-354,Wrocław, 
Litewska,2b,,51-354,Wrocław, 
Robotnicza,40,,55-095,Długołęka, 
Obornicka,22,,51-120,, 
Jemiołowa,42,,53-426,Wrocław, 
Legnicka,67,,63-900,Wrocław, 
Legnicka,58,,55-204,Wrocław, 
Aleja Jana Kasprowicza,1c,,51-136,Wrocław, 
Powstańców Śląskich,137,,53-317,Wrocław, 
Aleja Jana Kasprowicza,1a,,51-136,Wrocław, 
Żmigrodzka,15,,51-118,Wrocław, 
Zawalna,1b,,51-118,Wrocław, 
Zawalna,5b,,51-118,Wrocław, 
Zawalna,5a,,51-118,Wrocław, 
Aleja Jana Kasprowicza,7b,,51-136,Wrocław, 
Aleja Jana Kasprowicza,5,,51-136,Wrocław, 
Księdza Norberta Bonczyka,12a,,51-138,Wrocław, 
Aleja Jana Kasprowicza,9b,,51-136,Wrocław, 
Aleja Jana Kasprowicza,9a,,51-136,Wrocław, 
Aleja Jana Kasprowicza,13a,,51-136,Wrocław, 
Żmigrodzka,24,,51-130,Wrocław, 
Żmigrodzka,24,,51-130,Wrocław, 
Opolska,63,,52-010,Wrocław, 
Rynek,9-11,,50-106,Wrocław, 
Krakowska,127,,50-428,Wrocław, 
Kiełbaśnicza,2,,50-108,Wrocław, 
Borowska,246a,,50-558,Wrocław, 
Francuska,6,,55-040,Bielany Wrocławskie, 
Gubińska,6,,54-433,, 
Gajowa,18,,50-519,Wrocław, 
Strzegomska,38-40,,53-611,Wrocław, 
Małopanewska,2,,54-212,Wrocław, 
Krucza,49,,53-410,Wrocław, 
Marszałka Józefa Piłsudskiego,64a,,50-020,Wrocław, 
Muchoborska,9,,54-424,Wrocław, 
Teatralna,16-20,,50-055,Wrocław, 
Plac Teatralny,4,,50-051,Wrocław, 
Wyspa Słodowa,10,,50-266,Wrocław, 
Janusza Meissnera,6,,54-622,Wrocław, 
Stanisława Dygata,1,,54-622,Wrocław, 
Heleny Boguszewskiej,9,,54-622,Wrocław, 
Heleny Boguszewskiej,19,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,10,,54-622,Wrocław, 
Marii Dąbrowskiej,9,,54-622,Wrocław, 
Kamila Giżyckiego,11,,54-622,Wrocław, 
Jana Parandowskiego,1,,54-622,Wrocław, 
Romualda Cabaja,3,,54-622,Wrocław, 
Kamila Giżyckiego,28,,54-622,Wrocław, 
