StreetName,buldingNr,apartmentNr,postalCode,city,district
Aleja Marszałka Józefa Piłsudskiego,3,,90-368,Łódź, 
Gliniana,10,,91-336,Łódź, 
Stanisława Czernika,10,,92-544,Łódź, 
Jana Długosza,26,,91-083,Łódź, 
Jana Długosza,26,,91-083,Łódź, 
Michała Ossowskiego,4,,91-089,Łódź, 
Ogrodowa,15,,91-065,Łódź, 
Ogrodowa,19,,91-065,Łódź, 
Jana Pietrusińskiego,52,,91-009,Łódź, 
Piotrkowska,5,,90-273,Łódź, 
Piotrkowska,12,,90-273,Łódź, 
Pstrągowa,49a,,91-496,Łódź, 
Syrenki,35A,,91-496,Łódź, 
Gabriela Narutowicza,99,,90-145,Łódź, 
Aleja Marszałka Józefa Piłsudskiego,155,,92-301,Łódź, 
Beli Bartoka,20,,92-547,Łódź, 
Józefa Elsnera,23,,92-504,Łódź, 
Aleja Marszałka Józefa Piłsudskiego,141,,92-318,Łódź, 
Stanisława Czernika,10,,92-544,Łódź, 
Wodnika,7,,91-498,Łódź, 
Piotrkowska,21,,90-406,Łódź, 
Ustronna,41,,93-350,Łódź, 
Rokicińska,186A,,90-001,Łódź, 
Gościnna,8,,93-356,Łódź, 
Gimnastyczna,126,,94-128,, 
Stefana Jaracza,95/97,,90-244,Łódź, 
Legionów,16,,90-701,Łódź, 
Aleksandra Puszkina,8,,92-516,Łódź, 
Jana Pietrusińskiego,52,,91-009,Łódź, 
Stefana Okrzei,38,,91-009,Łódź, 
Profesora Bohdana Stefanowskiego,18/22,,90-924,Łódź, 
Profesora Bohdana Stefanowskiego,17,,90-537,, 
Falista,17,,94-115,Łódź, 
Falista,13,,94-115,Łódź, 
Falista,19,,94-115,Łódź, 
Falista,15,,94-115,Łódź, 
Falista,11,,94-115,Łódź, 
Falista,31,,94-115,Łódź, 
Falista,35,,94-115,Łódź, 
Falista,21,,94-115,Łódź, 
Falista,23,,94-115,Łódź, 
Falista,27,,94-115,Łódź, 
Falista,25,,94-115,Łódź, 
Falista,29,,94-115,Łódź, 
Falista,33,,94-115,Łódź, 
Falista,100,,94-115,Łódź, 
Falista,104,,94-115,Łódź, 
Pienista,11,,94-109,Łódź, 
Rusałki,7,,94-110,Łódź, 
Rusałki,5,,94-110,Łódź, 
Rusałki,3,,94-110,Łódź, 
Rusałki,6,,94-110,Łódź, 
Rusałki,12,,94-110,Łódź, 
Rusałki,18,,94-110,Łódź, 
Rusałki,14,,94-110,Łódź, 
Rusałki,1,,94-110,Łódź, 
Rusałki,24,,94-110,Łódź, 
Rusałki,10,,94-110,Łódź, 
Rusałki,22,,94-110,Łódź, 
Falista,130B,,94-115,Łódź, 
Falista,130A,,94-115,Łódź, 
Falista,132,,94-115,Łódź, 
Falista,130,,94-115,Łódź, 
Falista,144,,94-115,Łódź, 
Andrzeja Sacharowa,63,,92-520,Łódź, 
Falista,72,,94-115,Łódź, 
Falista,64,,94-115,Łódź, 
Falista,62,,94-115,Łódź, 
Falista,74,,94-115,Łódź, 
Falista,66,,94-115,Łódź, 
Falista,68,,94-115,Łódź, 
Falista,78,,94-115,Łódź, 
Falista,70,,94-115,Łódź, 
Falista,76,,94-115,Łódź, 
Juliusza Słowackiego,19a,,95-020,Justynów, 
Agrestowa,7/9,,95-020,Zielona Góra, 
6 Sierpnia,1,,90-422,Łódź, 
Tatarczana,31a,,91-156,Łódź, 
Tatarczana,31c,,91-156,Łódź, 
Daktylowa,25,,93-479,Łódź, 
Daktylowa,30,,93-479,Łódź, 
Daktylowa,6,,93-479,Łódź, 
Daktylowa,8,,93-479,Łódź, 
Wapienna,10,33-65,91-087,Łódź, 
Wapienna,10,1-31,91-087,Łódź, 
Wapienna,39/41,1-32,91-078,Łódź, 
Wapienna,39/41,33-64,91-078,Łódź, 
Jana Długosza,27,1-6,91-078,Łódź, 
